,Date/Time,AIR LOOP DEMAND SIDE INLET 1:System Node Temperature [C](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Mass Flow Rate [kg/s](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Standard Density Volume Flow Rate [m3/s](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Current Density Volume Flow Rate [m3/s](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Temperature [C](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Mass Flow Rate [kg/s](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Standard Density Volume Flow Rate [m3/s](Hourly)
8199, 12/08  16:00:00,11.46427715653842,18.9442075938461,0.0032069570000351,15.870976895310683,15.667824159550221,11.46427715653842,18.9442075938461,0.0032069570000351,15.870976895310683
8200, 12/08  17:00:00,10.641898620087922,18.9442075938461,0.0031188414519151,15.870976895310683,15.604636170226257,10.641898620087922,18.9442075938461,0.0031188414519151,15.870976895310683
8201, 12/08  18:00:00,10.066735854145286,18.9442075938461,0.003162790953593,15.870976895310683,15.55844386786644,10.066735854145286,18.9442075938461,0.003162790953593,15.870976895310683
8202, 12/08  19:00:00,9.589250038507087,18.9442075938461,0.0031493759760462,15.870976895310683,15.527976275111996,9.589250038507087,18.9442075938461,0.0031493759760462,15.870976895310683
8203, 12/08  20:00:00,9.068187885398007,18.9442075938461,0.0030806768872182,15.870976895310683,15.49765621456334,9.068187885398007,18.9442075938461,0.0030806768872182,15.870976895310683
8204, 12/08  21:00:00,8.766390155469704,18.9442075938461,0.0031238919796134,15.870976895310683,15.470493655296776,8.766390155469704,18.9442075938461,0.0031238919796134,15.870976895310683
8205, 12/08  22:00:00,8.353780006039068,18.9442075938461,0.0030195524903692,15.870976895310683,15.441395381399298,8.353780006039068,18.9442075938461,0.0030195524903692,15.870976895310683
8206, 12/08  23:00:00,7.930752461213684,18.9442075938461,0.0028808849913399,15.870976895310683,15.41476948417686,7.930752461213684,18.9442075938461,0.0028808849913399,15.870976895310683
8207, 12/08  24:00:00,7.71402991686695,18.9442075938461,0.0027875071828983,15.870976895310683,15.400582362302174,7.71402991686695,18.9442075938461,0.0027875071828983,15.870976895310683
8208, 12/09  01:00:00,7.527415341828194,18.9442075938461,0.002702868779678,15.870976895310683,15.38826467243318,7.527415341828194,18.9442075938461,0.002702868779678,15.870976895310683
8209, 12/09  02:00:00,7.395743347756822,18.9442075938461,0.0026210339865837,15.870976895310683,15.36746081148679,7.395743347756822,18.9442075938461,0.0026210339865837,15.870976895310683
